2113-132485-0048,2113-132485-0014,7131-92815-0028
6346-60784-0003,6346-60784-0029,6181-216552-0016
2334-150915-0043,2334-150915-0040,5304-109507-0022
6853-12339-0111,6853-12339-0098,7134-67200-0033
3851-9210-0079,3851-9210-0017,5245-3984-0021
2817-142371-0047,2817-142380-0026,4110-11533-0033
4017-6540-0025,4017-231846-0042,5641-32124-0068
4703-73029-0032,4703-73029-0015,1474-128276-0039
927-132466-0013,927-132466-0022,8011-117866-0010
8490-284268-0016,8490-284269-0018,3928-153302-0022
6111-59779-0020,6111-59779-0032,1826-139361-0021
7139-88748-0000,7139-75360-0028,6636-72296-0007
7424-98623-0035,7424-98608-0004,7436-97467-0015
6030-57826-0042,6030-70988-0005,1027-125140-0041
876-126411-0046,876-126411-0079,5660-101884-0022
3368-170952-0021,3368-170950-0004,4071-39913-0017
1230-1068-0023,1230-1060-0026,1058-131113-0059
5355-10766-0005,5355-10767-0010,5280-204997-0077
5133-80690-0025,5133-80690-0010,6097-293621-0018
1535-141644-0043,1535-141644-0031,5731-50778-0011
1298-1054-0004,1298-1054-0020,1006-135212-0123
559-289453-0008,559-126296-0019,8023-286250-0022
1636-130501-0005,1636-130501-0017,1849-144965-0004
1463-134463-0029,1463-134465-0009,6754-107485-0001
7009-83683-0047,7009-83683-0027,8312-279791-0005
5825-53035-0002,5825-50883-0053,1556-139350-0011
6883-66623-0058,6883-79967-0020,70-121127-0038
8347-258283-0001,8347-282412-0006,7000-83696-0035
8023-286247-0011,8023-286250-0022,4344-8892-0010
8474-281188-0000,8474-281187-0026,8414-284674-0014
5970-54413-0016,5970-54428-0038,542-125351-0026
2230-132101-0037,2230-148550-0011,6098-57836-0036
7026-86941-0030,7026-86946-0014,3541-174244-0008
1665-132826-0060,1665-136991-0005,5005-21379-0102
91-123498-0026,91-123521-0033,8250-286289-0044
3003-14274-0072,3003-14274-0012,1370-140972-0037
3245-62827-0024,3245-169642-0012,1274-121770-0044
3717-21498-0007,3717-21498-0005,3100-142810-0104
4442-2868-0081,4442-2868-0132,296-129659-0027
927-132462-0116,927-132462-0067,93-123172-0001
1685-146847-0013,1685-146845-0030,126-122467-0037
5164-26980-0030,5164-19198-0018,2919-7270-0015
228-133094-0035,228-133094-0022,6097-293621-0011
2001-144499-0007,2001-144499-0074,2517-135229-0025
2943-171000-0040,2943-171001-0042,2149-7239-0031
6025-58760-0022,6025-58760-0039,8410-278220-0005
5854-287849-0003,5854-287849-0009,3928-10094-0064
2021-235245-0023,2021-169435-0028,2056-143893-0066
8316-279798-0036,8316-279798-0043,5487-41940-0008
2512-157242-0009,2512-157242-0049,1756-134820-0018
126-122467-0065,126-125084-0015,8643-298549-0010
8609-262281-0027,8609-262281-0029,7874-110243-0104
1154-134887-0021,1154-134886-0027,6773-76039-0055
1313-135022-0026,1313-135022-0031,2361-165622-0055
49-121052-0035,49-121052-0073,2074-159371-0028
32-21634-0004,32-21625-0004,1544-140055-0011
4243-14929-0008,4243-187024-0004,4442-2868-0014
5190-87766-0000,5190-87791-0045,3618-175932-0018
245-122648-0030,245-122647-0021,1311-134170-0039
8677-296078-0001,8677-296078-0010,7713-106738-0008
5183-116605-0044,5183-29124-0022,500-125123-0090
8195-117382-0068,8195-117382-0057,5405-19220-0012
107-22885-0011,107-22887-0005,8632-245697-0065
6674-71397-0030,6674-71396-0013,1618-32399-0009
728-348-0120,728-348-0079,7491-114605-0001
6199-80041-0029,6199-80041-0003,2061-147110-0038
7525-101265-0022,7525-92915-0009,1053-289242-0013
4993-40688-0038,4993-40688-0061,6696-73296-0000
7065-74598-0015,7065-74598-0006,8183-282977-0021
6341-64956-0034,6341-64956-0014,3584-178748-0002
2194-141235-0009,2194-141248-0046,317-130248-0014
3500-134409-0059,3500-134409-0066,6003-58761-0039
6126-10992-0080,6126-10992-0007,3779-691-0090
1311-134170-0019,1311-134170-0018,728-348-0117
5561-41616-0005,5561-41616-0023,4051-11217-0003
6777-76701-0042,6777-76694-0043,7135-2346-0008
4297-13009-0025,4297-13009-0053,8632-245697-0099
2127-138047-0075,2127-138047-0023,3790-140725-0054
3792-176660-0052,3792-176660-0024,1636-130535-0029
7199-84006-0033,7199-84007-0013,606-127691-0017
6687-119383-0026,6687-119383-0028,1668-136271-0012
1353-134827-0012,1353-121397-0024,1740-141148-0112
2893-139322-0011,2893-139322-0041,1629-139710-0007
644-162691-0025,644-162691-0042,8619-291384-0006
2836-5355-0039,2836-5355-0024,1593-91064-0020
1365-134830-0029,1365-134830-0035,5005-21379-0041
1777-142750-0047,1777-142750-0046,2234-64159-0001
3370-163384-0004,3370-756-0011,1638-84447-0019
806-123715-0045,806-123715-0017,8587-295524-0013
6054-41610-0045,6054-41610-0068,3781-156981-0002
1789-137618-0052,1789-137618-0057,1331-155890-0035
1944-159227-0019,1944-159230-0030,82-121544-0053
3148-4666-0035,3148-4666-0033,8143-278206-0062
152-87733-0021,152-183930-0030,7687-107687-0084
112-121727-0006,112-121727-0019,2448-163517-0024
313-122804-0052,313-122804-0038,66-354-0047
7143-88743-0024,7143-88749-0038,3185-163505-0075
1760-143006-0045,1760-143006-0016,5719-233352-0005
1553-140048-0043,1553-140048-0045,8163-116797-0004
216-122451-0062,216-122451-0006,669-129061-0021
7140-72205-0014,7140-72205-0028,6914-119258-0024
6308-68359-0018,6308-68358-0044,4014-186176-0037
726-124445-0051,726-124445-0024,6097-293619-0004
8367-279367-0047,8367-279367-0019,7962-110061-0040
7912-105669-0031,7912-105670-0016,8855-283228-0026
445-123860-0024,445-123860-0007,8215-275211-0047
8334-119398-0096,8334-119398-0128,8677-296078-0025
94-3793-0005,94-3792-0030,7511-102420-0011
7416-103126-0030,7416-103126-0075,7597-101858-0037
6575-67584-0032,6575-67592-0007,3871-692-0074
844-133697-0058,844-133697-0012,7277-106404-0012
8168-116789-0043,8168-116789-0038,5983-39668-0040
6173-76448-0030,6173-94652-0020,64-76974-0012
4152-12926-0044,4152-12926-0029,3615-14677-0006
85-121551-0058,85-121551-0077,7460-104483-0039
5913-40745-0082,5913-40745-0008,4020-180289-0036
62-121084-0056,62-121084-0025,525-126965-0073
7522-69612-0044,7522-69612-0073,7749-8591-0081
8388-275212-0000,8388-278289-0047,2674-155968-0101
2975-151995-0055,2975-151995-0131,2051-153962-0044
1473-135657-0061,1473-135657-0090,6064-56165-0007
5826-53496-0027,5826-48845-0031,2740-162051-0009
5339-14134-0008,5339-14133-0028,568-126452-0009
6705-74244-0020,6705-74243-0036,7448-111703-0030
6533-399-0091,6533-399-0127,4594-902-0062
1633-150458-0009,1633-150458-0031,2769-176256-0029
8080-3961-0055,8080-3961-0019,8410-278217-0058
1665-132826-0007,1665-141758-0050,8875-293959-0015
6286-75355-0010,6286-75355-0006,3340-169293-0051
7672-96509-0005,7672-108627-0004,8163-116797-0015
8671-285138-0013,8671-285138-0058,2498-134785-0025
7569-102240-0039,7569-102240-0033,7956-245687-0004
6945-60535-0097,6945-60535-0123,57-121742-0001
7737-112595-0018,7737-114039-0023,1473-135657-0055
8200-278238-0003,8200-278238-0014,3346-7599-0030
7552-87290-0061,7552-87290-0003,255-121535-0020
7607-89899-0036,7607-89899-0032,5471-284440-0022
2741-159386-0076,2741-159386-0106,7932-278228-0019
3816-11258-0009,3816-290923-0006,3665-8587-0126
3947-13260-0030,3947-13260-0015,4156-12155-0002
4442-2868-0122,4442-2868-0075,2167-149880-0003
7286-92935-0039,7286-92935-0001,3224-168198-0026
1679-142280-0036,1679-142287-0041,7835-97730-0059
8148-286229-0019,8148-3956-0095,5808-48608-0023
614-161065-0029,614-6500-0002,2925-162505-0084
742-128033-0003,742-128034-0054,6849-69603-0090
8347-258283-0005,8347-258283-0037,8778-246974-0003
6014-32856-0023,6014-32856-0020,7699-105399-0026
7090-91801-0116,7090-91801-0111,6853-12339-0036
8713-296159-0025,8713-296159-0024,6177-57662-0004
2882-147159-0089,2882-147159-0069,3564-132498-0085
7932-278228-0020,7932-110056-0016,882-123267-0032
5983-39666-0034,5983-39669-0018,1098-133695-0020
8441-281327-0016,8441-284014-0005,517-121740-0000
6749-53256-0003,6749-53256-0007,1335-160602-0009
8590-258292-0010,8590-258292-0055,637-127595-0034
6533-399-0030,6533-399-0006,227-129974-0015
7687-107687-0135,7687-107687-0070,3470-116549-0004
3675-185514-0006,3675-10687-0027,1878-122452-0011
1494-138315-0027,1494-138315-0000,6895-96175-0007
6411-58876-0036,6411-58876-0022,2237-163673-0027
1447-130551-0003,1447-130552-0023,1717-142305-0001
6641-64718-0123,6641-64718-0052,2496-156089-0027
4591-14356-0030,4591-16221-0005,7525-101265-0052
4039-184264-0003,4039-184266-0023,5918-46890-0036
8005-113329-0000,8005-113329-0012,5860-64970-0030
5678-43301-0024,5678-43303-0014,3541-174244-0034
240-144999-0025,240-160592-0013,4290-14526-0010
4744-4158-0029,4744-4158-0002,6925-80680-0007
2045-158081-0110,2045-158081-0039,8180-274723-0000
6286-75355-0044,6286-75355-0027,4841-26660-0039
5913-40745-0063,5913-40745-0144,1740-141148-0062
666-11243-0014,666-11243-0087,331-135126-0035
4352-16038-0025,4352-10941-0013,7511-102419-0008
298-126791-0037,298-126791-0030,6391-65553-0071
6199-48196-0000,6199-64259-0025,7688-105390-0031
2104-78253-0045,2104-78240-0044,7095-88489-0008
1296-134434-0003,1296-138074-0015,2694-28891-0010
5951-57348-0022,5951-57347-0007,3848-28169-0011
6339-65534-0015,6339-65554-0059,4742-74181-0006
7495-252341-0032,7495-252341-0012,1124-134775-0056
4899-32637-0036,4899-32658-0003,1943-138033-0036
1679-142287-0015,1679-142287-0055,215-122798-0086
7199-84006-0042,7199-84007-0038,1681-142313-0038
4238-12895-0023,4238-12895-0038,4063-12915-0019
6512-72577-0030,6512-72577-0042,8148-3956-0060
8534-216564-0004,8534-216567-0037,839-130898-0050
7561-258994-0020,7561-258992-0006,263-121285-0012
6513-71946-0026,6513-71944-0040,204-287139-0003
6950-86822-0046,6950-86822-0005,1485-121385-0067
1241-121106-0018,1241-121103-0012,4706-28495-0014
348-132611-0030,348-132751-0014,374-180298-0039
54-121079-0008,54-121079-0025,4788-94904-0030
1898-145720-0010,1898-145715-0022,150-126107-0039
3587-140711-0051,3587-140711-0059,2285-163381-0012
7777-106367-0031,7777-106366-0039,2997-163246-0002
2792-152929-0000,2792-144136-0058,1334-135589-0008
5022-29411-0035,5022-29411-0029,2740-162051-0011
6956-81870-0009,6956-76046-0009,1291-138096-0009
5252-4860-0013,5252-4868-0051,243-162846-0001
8225-274375-0022,8225-274374-0035,46-127996-0020
708-129393-0038,708-129393-0037,2481-156738-0022
3521-175962-0030,3521-12715-0027,5750-100289-0072
1413-121799-0034,1413-121799-0042,8534-216564-0022
5949-65530-0033,5949-65530-0001,328-129766-0024
329-862-0009,329-862-0030,7188-82904-0023
154-123998-0008,154-123998-0030,4693-17508-0006
161-121897-0001,161-121743-0045,6009-57646-0044
1355-39947-0069,1355-39947-0008,7078-271888-0065
4344-53906-0044,4344-22232-0024,5044-30592-0020
3268-59226-0020,3268-59224-0024,3119-163527-0052
5152-81825-0038,5152-29465-0002,6426-64290-0000
273-129288-0013,273-129288-0054,7883-113274-0040
1259-27120-0016,1259-27120-0030,54-121080-0022
8425-287387-0028,8425-246962-0002,737-123441-0014
7316-10642-0051,7316-10642-0054,5665-38052-0053
6138-93182-0038,6138-93182-0021,7376-64577-0017
2204-131732-0110,2204-131732-0060,4748-25901-0058
7387-279272-0034,7387-96092-0030,8296-279865-0018
8291-276745-0020,8291-276745-0034,8148-3956-0054
589-146346-0032,589-146346-0028,3346-158751-0021
2448-141428-0045,2448-163517-0011,3242-8112-0044
7436-97461-0023,7436-97461-0011,8422-283572-0009
3053-148990-0069,3053-148990-0081,4267-78186-0005
3564-132498-0051,3564-132498-0065,3228-4690-0033
8534-216567-0021,8534-216567-0004,5809-51163-0033
3479-153286-0032,3479-153281-0005,5684-46240-0041
154-123998-0019,154-293987-0020,205-159056-0000
6923-82337-0019,6923-82337-0030,7338-81521-0009
196-122150-0016,196-122159-0019,4340-15220-0038
4179-25937-0020,4179-20593-0014,8879-300234-0053
8803-296085-0011,8803-296082-0013,8200-278197-0000
3192-4910-0025,3192-4910-0017,957-132568-0025
5545-66419-0037,5545-66398-0037,8190-284433-0003
4438-52195-0029,4438-48525-0026,1648-144971-0023
8215-275211-0060,8215-275211-0037,492-131887-0005
426-122819-0032,426-122821-0021,6294-86679-0030
7138-291964-0000,7138-73705-0007,8791-291101-0038
6075-57156-0025,6075-57156-0006,1498-140040-0006
5183-29124-0025,5183-29124-0009,1012-133424-0025
7730-304535-0042,7730-304535-0019,7556-93308-0042
1977-147187-0000,1977-133046-0027,3819-134153-0030
5242-35921-0011,5242-35926-0014,8044-84190-0018
3228-4690-0033,3228-4690-0023,6097-293616-0030
1559-139353-0035,1559-139353-0054,475-125002-0031
667-158816-0001,667-158816-0002,8195-117382-0050
3370-163384-0039,3370-163384-0019,1182-133396-0019
2910-131096-0059,2910-131096-0016,3927-6557-0054
8722-296473-0017,8722-296473-0024,8097-108005-0037
7135-80033-0077,7135-2346-0014,3483-115968-0037
3288-7156-0064,3288-7156-0047,3125-163698-0024
8042-245695-0057,8042-113762-0017,1175-126220-0013
7228-98202-0010,7228-98227-0024,3638-696-0046
5013-31101-0013,5013-31099-0012,2167-149881-0028
2552-132097-0061,2552-132097-0075,225-131259-0022
5429-210770-0021,5429-210770-0061,1337-10673-0033
6687-119386-0038,6687-119383-0038,7732-107520-0028
835-130876-0046,835-130876-0000,8846-305208-0041
850-131003-0041,850-131003-0005,6553-86683-0045
1066-5330-0017,1066-103481-0022,5809-51163-0030
3885-1194-0010,3885-1194-0027,7649-96682-0031
1084-145077-0025,1084-139230-0020,3681-96617-0002
4411-14501-0042,4411-14494-0020,2269-88761-0001
2764-36616-0014,2764-36619-0008,7594-81881-0033
6138-93188-0036,6138-93182-0016,7177-120275-0013
712-123615-0024,712-123615-0040,1054-143005-0013
2673-162129-0009,2673-162130-0028,2067-143536-0017
3896-134415-0120,3896-134415-0063,2133-289460-0036
3962-722-0019,3962-722-0029,3142-160977-0067
718-129596-0010,718-129597-0063,7720-105167-0026
6914-119258-0052,6914-284528-0001,7569-102240-0005
3328-168638-0017,3328-166436-0017,1724-395-0010
669-129061-0076,669-129061-0025,472-130755-0012
7437-96153-0030,7437-96153-0002,5583-41259-0009
3537-5704-0019,3537-5704-0006,8710-295447-0023
4297-13009-0041,4297-13009-0010,1621-141592-0016
5968-61356-0025,5968-71320-0003,839-130898-0042
6981-70843-0088,6981-70843-0102,2148-6983-0005
200-126784-0002,200-124140-0009,317-130243-0021
6906-65919-0027,6906-65919-0021,248-130697-0009
1685-146849-0029,1685-146845-0004,5772-43330-0005
8180-274723-0033,8180-274725-0013,3294-167597-0007
1563-137590-0001,1563-137590-0076,1977-147187-0025
6499-87508-0016,6499-87508-0053,622-128448-0038
2694-28891-0000,2694-28858-0048,978-132494-0043
7635-105661-0015,7635-105409-0001,8023-286253-0007
8321-284207-0013,8321-260942-0019,4234-187735-0023
7495-102612-0030,7495-252342-0006,1958-144503-0049
3033-130750-0075,3033-138641-0057,5649-40582-0010
1040-133433-0010,1040-133433-0074,6082-56175-0005
408-122806-0046,408-122806-0082,3046-148993-0002
196-122150-0001,196-122150-0000,6727-10344-0046
8329-279775-0066,8329-279775-0069,593-126932-0042
5983-39652-0028,5983-39669-0038,36-16602-0054
7326-245693-0050,7326-96553-0000,2204-131732-0113
246-122825-0062,246-122825-0034,6853-12339-0088
5456-62014-0008,5456-62043-0034,1844-144486-0025
7898-273040-0006,7898-273041-0008,7859-102519-0039
8394-96177-0072,8394-96177-0073,7302-86814-0007
2754-161902-0004,2754-161905-0018,8848-293963-0002
1116-132851-0027,1116-137572-0043,1721-142317-0042
7448-111703-0015,7448-111703-0073,7241-90850-0033
7255-281336-0017,7255-281345-0036,1815-143382-0030
7945-112012-0023,7945-112011-0015,5914-52088-0047
7241-90852-0062,7241-90852-0019,6713-56749-0045
2334-150915-0010,2334-150915-0100,6583-66269-0005
4447-14931-0011,4447-14931-0043,3967-292604-0032
5230-4863-0036,5230-4879-0010,644-163239-0036
7245-104890-0040,7245-104888-0010,3927-6556-0027
92-204-0003,92-204-0063,4697-92150-0002
8506-287660-0002,8506-287659-0002,215-127369-0031
7338-92154-0019,7338-92139-0027,6709-74022-0042
3021-121438-0033,3021-121439-0006,8324-286682-0004
568-126452-0019,568-126452-0041,7923-111569-0000
8389-282920-0064,8389-282920-0060,753-166209-0045
4830-25898-0016,4830-25904-0019,5809-51162-0037
2393-144496-0065,2393-144496-0000,110-2-0038
1647-140649-0059,1647-140649-0044,830-130728-0031
2606-132102-0007,2606-130138-0024,3703-71550-0013
2229-152842-0045,2229-152842-0000,100-122655-0016
8164-279593-0005,8164-279593-0007,3925-57460-0014
150-126112-0027,150-126112-0014,25-123319-0011
1634-141571-0004,1634-141571-0035,544-121090-0100
3698-41990-0040,3698-41990-0004,8897-294721-0005
534-123059-0033,534-127537-0035,8225-274376-0030
1224-121064-0026,1224-121064-0014,2182-181183-0029
2618-138042-0035,2618-138042-0116,1721-142317-0007
8544-281189-0016,8544-281189-0090,4773-19207-0053
57-121074-0006,57-121074-0011,4160-11550-0025
7062-80029-0007,7062-80029-0011,663-128991-0025
978-125137-0088,978-125137-0067,8846-305217-0020
6735-96163-0027,6735-66412-0042,3340-170982-0042
7198-80654-0001,7198-80654-0004,6488-66120-0028
441-128982-0021,441-128988-0004,6135-41994-0025
2967-4901-0072,2967-4901-0040,3268-59224-0037
5185-24772-0027,5185-24770-0006,1337-156963-0009
126-122467-0075,126-122467-0025,1779-142733-0068
3470-116549-0029,3470-116548-0029,915-163372-0016
1171-130776-0010,1171-130776-0023,7276-284424-0044
608-123154-0017,608-123194-0007,126-125084-0034
8012-273138-0039,8012-273154-0000,7525-92915-0038
3242-67153-0018,3242-67153-0010,2122-149350-0032
1018-133447-0013,1018-135221-0026,7255-281345-0004
5682-32877-0001,5682-32877-0024,5355-10766-0032
8765-295003-0012,8765-295009-0040,8240-116288-0039
1614-13759-0019,1614-13759-0009,1898-145715-0008
7809-108638-0026,7809-108638-0093,4267-72637-0018
1052-139307-0001,1052-139308-0046,1624-142933-0035
7828-105171-0042,7828-105179-0021,147-125737-0061
4263-16194-0031,4263-16187-0018,8015-112691-0040
5244-59146-0044,5244-73127-0006,6406-88089-0035
7672-96507-0029,7672-96509-0039,2309-152160-0071
1961-149739-0017,1961-149739-0054,3346-7599-0006
742-128034-0041,742-128033-0000,7848-275149-0031
8197-278218-0032,8197-278199-0041,2909-81524-0039
3314-138053-0062,3314-135987-0035,1107-134311-0027
6925-80680-0040,6925-80680-0025,6848-252322-0029
9000-282380-0034,9000-282380-0022,4148-134149-0020
3553-734-0071,3553-734-0013,313-127992-0047
2003-143255-0032,2003-143255-0014,1769-143484-0019
6902-89165-0055,6902-89165-0023,3020-892-0000
2588-160947-0078,2588-160947-0023,2748-160985-0043
6557-66462-0018,6557-66462-0033,1664-122623-0021
2246-131710-0133,2246-131710-0132,6963-81511-0057
2061-147110-0100,2061-147110-0018,317-130248-0034
8200-278197-0080,8200-278238-0017,1970-10594-0016
1679-142287-0053,1679-142287-0012,8415-283469-0099
3557-8342-0090,3557-8341-0015,5246-30101-0052
2638-10172-0008,2638-10172-0101,253-124400-0030
3238-134398-0008,3238-134398-0023,5949-65529-0008
6951-79737-0068,6951-79737-0032,7113-86041-0082
264-121332-0089,264-121332-0080,6686-216563-0087
6625-39680-0007,6625-70995-0016,8195-117382-0010
7672-108627-0009,7672-96509-0017,1578-140049-0036
1195-130164-0026,1195-135814-0003,5909-107621-0026
1401-146770-0031,1401-146770-0015,2568-156118-0000
3909-11695-0059,3909-149794-0000,7178-34644-0063
6227-36632-0062,6227-60173-0037,5720-48302-0017
2843-152918-0020,2843-152918-0064,8164-279592-0018
7942-283400-0008,7942-283400-0014,6575-67584-0021
7687-107687-0018,7687-107687-0075,512-124549-0020
3927-6556-0055,3927-6556-0041,7242-275146-0015
2491-134787-0107,2491-134787-0091,5682-32877-0019
98-121658-0036,98-121658-0012,278-127215-0081
4321-27565-0035,4321-27567-0008,428-125879-0011
3927-6557-0044,3927-6557-0049,3571-173555-0004
5588-39648-0045,5588-68188-0024,8444-281329-0014
2709-158074-0009,2709-158074-0047,6660-97655-0041
3541-174236-0000,3541-174244-0010,3479-153280-0022
589-139200-0022,589-146346-0031,1773-145716-0008
8414-284674-0008,8414-284675-0006,65-125860-0006
3109-144137-0068,3109-144137-0026,2234-64159-0026
3053-148990-0094,3053-148990-0064,3448-5416-0012
3179-7153-0017,3179-7153-0030,4821-27466-0055
7125-87278-0048,7125-87278-0056,1743-142912-0036
3876-174953-0005,3876-174953-0017,1664-122623-0099
7205-64127-0016,7205-96093-0025,2724-89874-0116
2299-6525-0023,2299-6525-0043,839-130898-0011
2775-134792-0013,2775-160958-0042,157-121899-0031
38-121024-0036,38-121024-0034,8328-280925-0025
2985-153199-0020,2985-153200-0032,51-121055-0102
7384-84010-0052,7384-84010-0023,3245-62828-0001
1485-139314-0025,1485-121385-0028,708-129393-0071
1252-134983-0071,1252-134983-0002,4710-964-0041
3867-173237-0037,3867-173237-0042,6025-58759-0029
5118-40456-0022,5118-111610-0009,7245-104886-0014
2182-181183-0033,2182-181183-0023,458-126305-0015
9022-282383-0003,9022-282383-0023,984-137141-0006
1225-129802-0059,1225-129527-0012,8414-284675-0023
8470-286666-0006,8470-286675-0015,8095-274346-0008
2194-150469-0018,2194-150469-0023,2152-133013-0017
549-126410-0024,549-126410-0086,1482-140072-0028
6924-291609-0004,6924-291609-0011,3114-170976-0013
6752-74795-0050,6752-74795-0074,5628-22450-0007
8466-285142-0029,8466-274557-0003,7460-92002-0006
8300-275128-0038,8300-275127-0008,64-76973-0033
1867-154075-0005,1867-148436-0031,2234-64139-0006
5641-39772-0025,5641-32124-0035,1878-122452-0004
2050-164332-0017,2050-164332-0021,5622-41172-0021
608-123154-0043,608-123154-0045,3100-142810-0083
7561-258994-0013,7561-258994-0019,2518-154825-0053
6828-64738-0032,6828-64738-0031,6189-21305-0043
4799-25950-0068,4799-25949-0018,5975-54006-0094
5157-47239-0044,5157-47238-0024,3992-714-0007
7859-102519-0041,7859-102518-0004,89-219-0023
250-142276-0018,250-142276-0028,7739-8592-0057
4629-19366-0109,4629-19366-0012,2787-157400-0026
4863-258985-0005,4863-258982-0019,3947-13262-0007
6505-231837-0008,6505-231837-0000,576-129623-0104
3238-134398-0063,3238-134398-0084,2339-181100-0025
7609-39979-0033,7609-39979-0120,1265-135636-0031
2733-28252-0028,2733-28252-0011,5328-204986-0115
288-131220-0017,288-130994-0016,4161-185349-0049
1112-128136-0024,1112-128136-0023,4277-185517-0017
7691-108625-0017,7691-293948-0043,5933-104482-0004
1963-142393-0015,1963-147036-0014,89-218-0038
1733-139046-0005,1733-139046-0032,2195-150901-0099
6925-80680-0030,6925-80680-0031,585-294811-0002
3686-171133-0031,3686-171133-0058,4955-28244-0055
7552-87290-0042,7552-87290-0019,6694-70837-0045
5684-46243-0016,5684-46243-0062,7302-86815-0011
3664-178366-0021,3664-178366-0018,6359-64713-0022
4019-8899-0057,4019-8899-0023,4734-220951-0008
1750-135624-0093,1750-135624-0068,5375-40169-0013
3021-121439-0050,3021-121439-0040,5246-30101-0024
7226-86964-0057,7226-86965-0012,123-25084-0014
1736-142281-0023,1736-142281-0000,589-139200-0013
2971-4275-0006,2971-4275-0071,3588-186215-0006
3927-6556-0064,3927-6557-0019,2397-162239-0038
8142-3967-0009,8142-3966-0007,4057-183239-0024
208-126600-0012,208-128036-0000,1552-140651-0005
1624-168623-0049,1624-168623-0012,2301-134424-0040
7492-105653-0060,7492-99101-0006,2246-131710-0112
3467-166572-0006,3467-166570-0031,8142-3967-0004
8445-281203-0029,8445-281203-0011,1160-139336-0003
6358-73329-0125,6358-73329-0136,8328-280925-0132
5246-5084-0030,5246-30101-0049,2289-152254-0011
895-136366-0073,895-136366-0068,5220-69519-0004
319-134959-0057,319-134959-0083,7733-106800-0078
3245-6194-0026,3245-6194-0005,8778-246984-0027
982-133222-0019,982-133226-0013,927-132466-0022
6087-63229-0007,6087-50469-0003,3728-105398-0057
8356-284520-0033,8356-240982-0051,3717-21498-0016
1313-136054-0017,1313-136054-0024,1699-141159-0104
3972-170212-0011,3972-185074-0029,5123-29120-0003
5248-2163-0001,5248-34500-0009,5340-8682-0026
6346-60781-0019,6346-60781-0001,1552-141135-0020
8337-284523-0023,8337-283569-0000,684-131458-0023
4179-20567-0041,4179-20593-0037,5245-3984-0029
4958-11613-0048,4958-11613-0017,8245-283126-0020
7717-105405-0041,7717-105405-0033,597-127694-0013
1578-140049-0017,1578-140049-0022,984-137141-0003
7835-97730-0059,7835-97730-0021,1383-130532-0014
2149-8912-0014,2149-7235-0004,7754-105383-0017
1678-142279-0034,1678-142279-0050,8677-291953-0028
7065-74597-0010,7065-74573-0015,3097-165354-0007
8088-284756-0022,8088-284756-0021,451-126829-0047
335-125941-0021,335-125945-0013,3923-153309-0014
7584-101882-0011,7584-266228-0011,1168-134958-0021
4211-3835-0025,4211-3820-0009,2762-142778-0102
2526-156076-0039,2526-156061-0010,3959-706-0115
319-134959-0067,319-134959-0128,1867-154071-0001
7553-101278-0015,7553-101278-0002,483-125126-0025
6330-62851-0029,6330-66016-0011,1535-141642-0024
7238-107675-0027,7238-91112-0036,6300-39661-0069
7597-101858-0015,7597-101877-0031,6892-256224-0059
2930-163436-0045,2930-163436-0017,1053-132821-0045
1322-137588-0046,1322-137589-0056,1168-134958-0112
3871-692-0016,3871-693-0016,6206-14960-0034
8725-294554-0006,8725-294554-0024,6189-64708-0008
5077-38105-0038,5077-38099-0005,6625-39674-0016
1445-139387-0018,1445-139387-0007,1246-124550-0036
8848-293963-0037,8848-293957-0025,6652-70975-0031
5164-19197-0009,5164-26980-0027,4839-15307-0001
1708-142415-0027,1708-142415-0063,6080-233342-0015
920-681-0009,920-681-0045,1594-135914-0039
8356-240982-0032,8356-284520-0005,7318-96168-0021
7495-102612-0028,7495-102612-0019,690-133452-0061
7828-105171-0044,7828-105171-0030,8630-305213-0013
2775-161226-0005,2775-161226-0000,3314-138053-0029
5868-54659-0011,5868-54659-0019,6555-398-0069
5401-39515-0005,5401-39508-0029,7525-92915-0026
6458-232057-0116,6458-232057-0002,1614-13759-0030
7467-261121-0025,7467-69610-0060,2827-170440-0027
3394-7597-0057,3394-7597-0030,439-122810-0002
5062-294700-0030,5062-294700-0018,6583-48224-0016
1578-140045-0011,1578-6379-0000,5970-54428-0008
7148-59157-0028,7148-7763-0008,3417-6522-0048
4179-25937-0000,4179-25937-0032,4246-12544-0002
8190-284433-0038,8190-284433-0014,1046-133224-0029
1283-129808-0033,1283-129808-0056,8470-286675-0047
5993-19639-0047,5993-19685-0035,3851-9210-0082
4015-63729-0029,4015-4878-0031,4014-186179-0022
5985-300208-0026,5985-63885-0011,1509-145742-0016
5104-33407-0017,5104-33407-0007,5049-25947-0111
7909-106369-0000,7909-106369-0002,277-127368-0039
3896-134415-0022,3896-134415-0122,5248-2163-0008
8098-278252-0000,8098-278252-0025,576-129623-0019
3465-20044-0015,3465-20022-0024,4957-30119-0029
951-122301-0099,951-122301-0023,211-122442-0076
8250-279777-0078,8250-279777-0081,5379-15784-0025
7387-97901-0030,7387-97901-0008,1342-130497-0015
3588-54099-0016,3588-186215-0042,7247-94108-0018
6880-216547-0056,6880-216547-0069,2628-153958-0042
5136-5094-0019,5136-24633-0016,1513-140222-0010
6323-10337-0046,6323-10337-0006,3356-132542-0034
8058-99403-0030,8058-99402-0034,2988-7587-0035
7320-93280-0023,7320-93280-0019,497-125118-0004
